id	title	author	source	primaryCategory	tags	relativePath
d18203df004977b5	كتابة المصحف حسب قواعد الإملاء	اللجنة الدائمة للبحوث العلمية والإفتاء	أبحاث هيئة كبار العلماء (السعودية)	references	دراسات لغوية	أبحاث هيئة كبار العلماء (السعودية)/7/5 كتابة المصحف حسب قواعد الإملاء.pdf
977f5fbc7aa5340d	التناص الأسطوري في شعر محمد بن علي السنوسي	صالح بن هليل العسيري	المجلة العربية للدراسات الإسلامية والشرعية (مصر)	references	دراسات لغوية	المجلة العربية للدراسات الإسلامية والشرعية (مصر)/6/18/2 التناص الأسطوري في شعر محمد بن علي السنوسي.pdf
3f70a4d30f18bb3d	الشواهد الشعرية وأثرها في تفسير القرآن الكريم من خلال: (ديوان الحماسة): دراسةٌ نظريةٌ تطبيقيةٌ	هديل بنت حامد السحيمي، أ. د. هبة الله بنت صادق أبو عرب	المجلة العربية للدراسات الإسلامية والشرعية (مصر)	diwans	ديوان شعري | شعر وأدب	المجلة العربية للدراسات الإسلامية والشرعية (مصر)/8/29/13 الشواهد الشعرية وأثرها في تفسير القرآن ... خلال$ (ديوان الحماسة)$ دراسةٌ نظريةٌ تطبيقيةٌ.pdf
32c473f73ff4bac1	القيم الإسلامية التربوية في ديوان حسان بن ثابتٍ -رضي الله عنه	د. خاتمة بنت حسن حمود	المجلة العربية للدراسات الإسلامية والشرعية (مصر)	diwans	ديوان شعري | شعر وأدب	المجلة العربية للدراسات الإسلامية والشرعية (مصر)/2/4/4 القيم الإسلامية التربوية في ديوان حسان بن ثابتٍ -رضي الله عنه-.pdf
b2ba320593a292a0	تحديات ترجمة معاني القرآن الكريم في ضوء نظريات علم اللغة النصي والترجمة الحديثة (سورة يس أنموذجاً)	د. توفيق بن عبده الكناني، د. بلقيس السويدي، د. صادق المنبري	المجلة العربية للدراسات الإسلامية والشرعية (مصر)	references	دراسات لغوية	المجلة العربية للدراسات الإسلامية والشرعية (مصر)/4/10/4 تحديات ترجمة معاني القرآن الكريم في ... النصي والترجمة الحديثة (سورة يس أنموذجاً).pdf
12ef7b988d87c8b1	ضمير المتكلم المنفصل (نحن) واستعمالاته في اللغة العربية، والقرآن الكريم: دراسةٌ لغويةٌ دلاليةٌ	منال بنت هليل العطوي	المجلة العربية للدراسات الإسلامية والشرعية (مصر)	references	دراسات لغوية	المجلة العربية للدراسات الإسلامية والشرعية (مصر)/4/13/7 ضمير المتكلم المنفصل (نحن) واستعمالاته في ... العربية، والقرآن الكريم$ دراسةٌ لغويةٌ دلاليةٌ.pdf
730ab0f75de55fa5	منهج التبويب الصرفي بين القديم والحديث: دراسةٌ تقويميةٌ على كتاب: (ميزان الصرف)	محمد عبد المنان مياجي، د. ماجد بن هلال العصيمي	المجلة العربية للدراسات الإسلامية والشرعية (مصر)	references	صرف	المجلة العربية للدراسات الإسلامية والشرعية (مصر)/9/34/16 منهج التبويب الصرفي بين القديم والحديث$ دراسةٌ تقويميةٌ على كتاب$ (ميزان الصرف).pdf
392d1bcf1485c85f	ابن صابرٍ القائل بـ (الخالفة) في النحو العربي	د. علي بن خليفة عطوة	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	نحو	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/21/1/2 ابن صابرٍ القائل بـ (الخالفة) في النحو العربي.pdf
f87fc798e0ead2c2	أثر اللغة العربية في تعزيز النزاهة ومكافحة الفساد	أ. د. عبد العزيز بن عبد الرحمن الخثلان	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/18/عدد خاص/2 أثر اللغة العربية في تعزيز النزاهة ومكافحة الفساد.pdf
0bdc75326a8e8ed3	اختيارات/ محمد بن نصيرٍ الميداني النحوية: جمعاً ودراسةً	أ. د. صلاح بن عبد الله بو جليع	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/20/1/4 اختيارات& محمد بن نصيرٍ الميداني النحوية$ جمعاً ودراسةً.pdf
510e55d432c9e1d0	آراء ابن الحاج النحوية في: (المقاصد الشافية)، للشاطبي	د. سلوى بنت محمد عرب	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/15/2/3 آراء ابن الحاج النحوية في$ (المقاصد الشافية)، للشاطبي.pdf
d89a65ac7346d94a	الاستخدام الشعري للغة: بين التطفل والإنجار (قصيدة: (فتح الأحساء)، لابن عثيمين أنموذجاً)	أ. د. مصطفى محمد تقي الله بن مايابا	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/19/2/6 الاستخدام الشعري للغة$ بين التطفل والإنجار (قصيدة$ (فتح الأحساء)، لابن عثيمين أنموذجاً).pdf
